Name,Price,Condition,Mileage,Engine_Capacity,Region
2014-Ford RANGER 2.2 XLT 4WD(A)Kedai/Bank/Cash,56990,Used,75000 - 79999,2198,Selangor
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A) LEATHER,42999,Used,95000 - 99999,1497,Johor
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A),40999,Used,85000 - 89999,1497,Johor
FULL LOAN Honda CIVIC 2.0 (A) FULL LEATHER,48999,Used,95000 - 99999,1997,Johor
FULL LOAN Nissan X-TRAIL 2.0 (A) LEATHER SEAT,58999,Used,85000 - 89999,1997,Johor
2014 Kia PICANTO 1.2 CVVT (A) 2 TAHUN WARRANTY,25800,Used,65000 - 69999,1248,Perak
2016 Proton PREVE 1.6 PREMIUM (A) 3 TAHUN WARRANTY,35800,Used,85000 - 89999,1561,Perak
1998 Nissan VANETTE 1.5 (M) Good Condition,14800,Used,150000 - 159999,1498,Perak
2013 Nissan SERENA 2.0 S-HYBRID (A) 2 THN WARRANTY,61800,Used,130000 - 139999,1997,Perak
1992 Honda CIVIC EG9 2.0 (M) Good Condition,21800,Used,180000 - 189999,1998,Perak
2016 Nissan X-TRAIL 2.0 (A),68200,Used,130000 - 139999,1997,Selangor
ALL-IN 2017 Honda CITY 1.5 E (A),60800,Used,150000 - 159999,1497,Selangor
ALL-IN 2016 Toyota SIENTA 1.5 V (A),65800,Used,80000 - 84999,1496,Selangor
ALL-IN 2017 Honda JAZZ 1.5 HYBRID (A),56800,Used,75000 - 79999,1496,Selangor
ALL-IN 2019 Perodua ARUZ AV 1.5L (A),63800,Used,50000 - 54999,1500,Selangor
2020 Proton PERSONA EXECUTIVE 1.6L (A),43800,Used,25000 - 29999,1597,Penang
2012 Perodua VIVA 1.0 ELITE AT (A),14800,Used,100000 - 109999,989,Kuala Lumpur
2017 Proton PERSONA 1.6 EXECUTIVE (A) BLACKLIST OK,27500,Used,55000 - 59999,1597,Selangor
New Proton SAGA  HargaRakyat Promosi Tahun Baru2023,38300,New,0 - 4999,1332,Johor
1995 Proton WIRA 1.5 GL (M) CARB WEBER,6900,Used,80000 - 84999,1468,Selangor
2011 Naza FORTE 1.6 SX ENHANCED (A) BLACKLIS OK,16500,Used,130000 - 139999,1591,Selangor
2002 Bmw 520i (CKD) 2.2 (A) DOUBLE VANOSS,11500,Used,160000 - 169999,2171,Selangor
2011 Isuzu D-MAX 2.5 4x2 (M) 1 TAHUN WARRANTY,42800,Used,65000 - 69999,2499,Perak
2010 Toyota VELLFIRE 2.4 VVTi Z (A) 1 THN WARRANTY,86800,Used,75000 - 79999,2362,Perak
2009 Toyota VIOS 1.5 G (A) 3 BULAN WARRANTY,29800,Used,120000 - 129999,1497,Perak
2014 Toyota COROLLA ALTIS 1.8 E (A) 2 THN WARRANTY,58800,Used,110000 - 119999,1798,Perak
2018 Mitsubishi ASX 2.0 2WD Max Certified (A),69800,Used,50000 - 54999,1998,Selangor
2016 Perodua AXIA 1.0 G (A),26800,Used,80000 - 84999,998,Selangor
2012 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),54200,Used,170000 - 179999,1998,Selangor
2012 Perodua MYVI 1.5 SE ZHS (A),25800,Used,120000 - 129999,1495,Kuala Lumpur
2015 Nissan ALMERA 1.5 E (A),35900,Used,120000 - 129999,1498,Selangor
2016 Honda CITY 1.5 E (A),55900,Used,120000 - 129999,1497,Selangor
2016 Toyota VIOS 1.5  FACELIFT (A),54800,Used,60000 - 64999,1496,Selangor
2013 Nissan GRAND LIVINA 1.8 IMPUL (A),30800,Used,65000 - 69999,1798,Selangor
2008 Perodua MYVI 1.3 EZi (A),16800,Used,80000 - 84999,1298,Selangor
2018 Toyota VIOS 1.5 TRD BODYKIT (A),59800,Used,60000 - 64999,1496,Selangor
2013 Perodua ALZA 1.5 EZ (A) 119k Miles Fast Loan,30800,Used,110000 - 119999,1495,Selangor
2005 Toyota AVANZA 1.3 E (M),11000,Used,250000 - 299999,1298,Selangor
2017 Mini COOPER 2.0 JCW/CHINESE NEW YEAR **SALE**,169000,Recon,70000 - 74999,1998,Selangor
